# Vat.gr.1291 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: topo
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=3.390°  hour=0.350h  chron=11.8min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_topo] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
Gemini	ζ	[unread]	[unread]	[unread]	[unread]	7	40;35[pred_topo]	19[pred_topo]	4[pred_topo]
Gemini	η	[unread]	[unread]	[unread]	[unread]	8	40;52[pred_topo]	19[pred_topo]	8[pred_topo]
Gemini	θ	[unread]	[unread]	[unread]	[unread]	9	41;06[pred_topo]	19[pred_topo]	11[pred_topo]
Gemini	ι	[unread]	[unread]	[unread]	[unread]	10	38;27[pred_topo]	19[pred_topo]	13[pred_topo]
Gemini	ια	[unread]	[unread]	[unread]	[unread]	11	41;26[pred_topo]	19[pred_topo]	18[pred_topo]
Gemini	ιβ	[unread]	[unread]	[unread]	[unread]	12	43;25[pred_topo]	19[pred_topo]	22[pred_topo]
Gemini	ιγ	[unread]	[unread]	[unread]	[unread]	13	45;00[pred_topo]	19[pred_topo]	25[pred_topo]
Gemini	ιδ	[unread]	[unread]	[unread]	[unread]	14	46;33[pred_topo]	19[pred_topo]	28[pred_topo]
Gemini	ιε	[unread]	[unread]	[unread]	[unread]	15	48;02[pred_topo]	19[pred_topo]	31[pred_topo]
Gemini	ιϛ	[unread]	[unread]	[unread]	[unread]	16	49;27[pred_topo]	19[pred_topo]	34[pred_topo]
Gemini	ιζ	[unread]	[unread]	[unread]	[unread]	17	50;48[pred_topo]	19[pred_topo]	37[pred_topo]
Gemini	ιη	[unread]	[unread]	[unread]	[unread]	18	52;04[pred_topo]	19[pred_topo]	40[pred_topo]
Gemini	ιθ	[unread]	[unread]	[unread]	[unread]	19	53;15[pred_topo]	19[pred_topo]	43[pred_topo]
Gemini	κ	[unread]	[unread]	[unread]	[unread]	20	60;07[pred_topo]	19[pred_topo]	47[pred_topo]
Gemini	κα	[unread]	[unread]	[unread]	[unread]	21	61;02[pred_topo]	19[pred_topo]	49[pred_topo]
Gemini	κβ	[unread]	[unread]	[unread]	[unread]	22	58;21[pred_topo]	19[pred_topo]	50[pred_topo]
Gemini	κγ	[unread]	[unread]	[unread]	[unread]	23	55;29[pred_topo]	19[pred_topo]	50[pred_topo]
Gemini	κδ	[unread]	[unread]	[unread]	[unread]	24	56;37[pred_topo]	19[pred_topo]	38[pred_topo]
Gemini	κε	[unread]	[unread]	[unread]	[unread]	25	57;52[pred_topo]	20[pred_topo]	26[pred_topo]
Gemini	κϛ	[unread]	[unread]	[unread]	[unread]	26	58;17[pred_topo]	20[pred_topo]	15[pred_topo]
Gemini	κζ	[unread]	[unread]	[unread]	[unread]	27	58;04[pred_topo]	20[pred_topo]	7[pred_topo]
Gemini	κη	[unread]	[unread]	[unread]	[unread]	28	62;06[pred_topo]	20[pred_topo]	12[pred_topo]
Gemini	κθ	[unread]	[unread]	[unread]	[unread]	29	59;53[pred_topo]	19[pred_topo]	19[pred_topo]
