dataset,domain,n_samples,n_features,n_classes,accuracy,tdi_vr_h0,tdi_vr_h1,tdi_alpha_h0,tdi_alpha_h1,tdi_random_label,signal_ratio,input_entropy_h0,input_entropy_h1,input_knn_purity,final_knn_purity,purity_gain
GTSRB_HueHist,openml_catalog,30639,256,43,0.41906005221932113,5490.638053142171,133.38494039508885,4294.25464285133,79.17052167818119,4097.204428132347,0.7462164485214259,5.925693685468822,3.993928206211982,0.10100000000000002,0.1215,0.020499999999999977
timing_attack_dataset_2_micro_se,openml_catalog,9995,124,11,0.0940376150460184,250.26744870090587,48.04715095276998,202.4450345355957,33.67516174089095,225.00013389580178,0.8990387486016969,5.893236661703231,5.022342182933013,0.0785,0.08199999999999999,0.0034999999999999892
Satellite_seed_3_nrows_2000_ncla,openml_catalog,1029,36,2,0.9922480620155039,294.06490126329595,22.52136351533567,213.76857575515788,23.223966054008145,288.932013926285,0.982545052758897,5.908737410346974,4.614081249162412,0.978,0.9795,0.0015000000000000568
covertype_seed_0_nrows_2000_ncla,openml_catalog,2000,10,2,0.766,389.4536350240753,85.71485178124581,302.7533847294804,55.22683473196052,399.9835272733496,1.0270376016611664,5.9248988942708,5.2903184289296785,0.6525,0.6509999999999999,-0.0015000000000000568
PieChart3,openml_catalog,1077,37,2,0.8666666666666667,259.6989017761323,31.307501436405865,166.51150496426467,28.413568905610774,182.48342456509977,0.7026730699169671,5.5311931307220314,5.077864135771037,0.8604999999999999,0.8640000000000001,0.0035000000000001696
compass_seed_3_nrows_2000_nclass,openml_catalog,2000,8,2,0.672,235.0641664664438,30.42042494181805,204.74241861562382,24.14660464880845,236.80788645057748,1.0074180595466584,5.348947433570125,4.610111051355104,0.578,0.5770000000000001,-0.0009999999999998899
FOREX_audjpy_day_Close,openml_catalog,1832,10,2,0.5218340611353712,247.1145828574095,28.90128589256649,205.13924976655903,20.033239015209624,194.77750236202215,0.7882072361322886,5.7994820419677025,3.935303621563608,0.5045000000000001,0.5045000000000001,0.0
doa_bwin,openml_catalog,530,11,2,0.6165413533834586,373.6588141444273,53.839602828918565,289.4100925970919,33.2770566001251,326.6729236682484,0.8742545640633066,5.745690930273296,5.172045754681783,0.5690000000000001,0.5725,0.0034999999999999476
diggle_table_a2,openml_catalog,310,7,2,1.0,112.27866447386562,8.251169561227563,111.2414444462521,8.204477528690498,116.05587438912433,1.033641386214902,5.495893589848933,2.243799847272304,0.9670967741935482,0.9729032258064517,0.005806451612903496
kdd_ipums_la_97_small,openml_catalog,2000,20,2,0.838,215.81134392149562,34.52234917127815,162.95847756347405,31.36907440126982,271.71415795381296,1.259035567901624,5.8103684621907234,4.739192414652084,0.7284999999999999,0.7404999999999999,0.01200000000000001
fri_c0_250_5,openml_catalog,250,5,2,0.8412698412698413,461.9537984818613,119.68651012940934,461.9537984818613,119.68651012940934,352.4112267618985,0.7628711527430724,5.486738311973352,4.971601177235127,0.7664,0.7752,0.00880000000000003
FOREX_cadchf_hour_High,openml_catalog,2000,10,2,0.604,137.07543884428446,14.734506908363908,120.19687770053955,14.793236028593247,93.08945687557501,0.6791111351561906,5.734846922822124,4.045744094069261,0.5185,0.5115000000000001,-0.006999999999999895
ilpd,openml_catalog,583,9,2,0.7054794520547946,319.64581549231065,40.0703144571409,265.9700380718237,25.42463502597755,300.10082383601724,0.9388542233027807,5.710736762395165,4.908886333750945,0.6430000000000001,0.6405000000000001,-0.0025000000000000577
first_order_theorem_proving,openml_catalog,4475,51,6,0.4539767649687221,454.1838992311457,29.036042825589,362.4609773707398,19.406342262620754,272.4393852626671,0.5998437763290587,5.32356735311191,3.8834831394229874,0.29350000000000004,0.3085,0.014999999999999958
ada_seed_1_nrows_2000_nclasses_1,openml_catalog,1496,48,2,0.786096256684492,495.9949116030579,178.60804653554115,420.4094111367223,122.81533752035921,441.3763953031839,0.889880893891942,5.776846124379258,5.291720858175108,0.6990000000000001,0.7170000000000001,0.018000000000000016
airlines,openml_catalog,2000,2,2,0.57,127.89529559582267,21.48762206551511,116.30238106101118,19.354419915659854,126.00313387335368,0.9852053845010168,5.6961037012010625,4.006109484804025,0.489,0.5,0.01100000000000001
aztrees4,openml_catalog,1674,21,2,0.9832935560859188,112.56624670358838,17.759017117460843,112.24981076636077,12.642378044258393,180.544456388856,1.6038951433129787,5.483233972347179,3.971294522072057,0.9145,0.9505000000000001,0.03600000000000014
